what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.search,1.2.7.024747,com.aptana.ide.search,1269492484046
started,bundle,org.eclipse.eclipsemonkey,1.2.7.024747,org.eclipse.eclipsemonkey,1269492486397
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,org.eclipse.eclipsemonkey.lang.javascript,1269492486398
started,bundle,org.eclipse.eclipsemonkey.doms,1.2.7.024747,org.eclipse.eclipsemonkey.doms,1269492486588
started,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1269492486720
stopped,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1269492486722
unresolved,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1269492486731
uninstalled,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1269492486731
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1269492494474
activated,editor,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal.ui.MyAptanaEditor,1269492495729
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1269492495769
closed,editor,com.aptana.ide.server.portal,1.2.7.024747,com.aptana.ide.server.portal.ui.MyAptanaEditor,1269492495770
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1269492499166
started,bundle,com.aptana.ide.io.file,1.2.7.024747,com.aptana.ide.io.file,1269492512178
started,bundle,org.eclipse.m2m.atl.engine.vm,2.0.0.v200806101117,org.eclipse.m2m.atl.engine.vm,1269492512347
started,bundle,org.eclipse.m2m.atl.adt.editor,2.0.0.v200806101117,org.eclipse.m2m.atl.adt.editor,1269492512347
opened,view,com.aptana.ide.core.ui,1.2.7.024747,com.aptana.ide.core.ui.AptanaNavigator,1269492512513
started,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1269492512594
activated,view,com.aptana.ide.core.ui,1.2.7.024747,com.aptana.ide.core.ui.AptanaNavigator,1269492512641
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1269492512747
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1269492512771
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1269492512772
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1269492514714
activated,view,com.aptana.ide.core.ui,1.2.7.024747,com.aptana.ide.core.ui.AptanaNavigator,1269492516545
activated,view,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui.PackageExplorer,1269492519024
