Compare M:\Jordan.M.Klein_TIERS_Project_IPT_dyn with M:\Jordan.M.Klein_TIERS_Project_APT_dyn
6/28/2006 12:36:20 PM
Filename,Directory,Comparison result,Left Date,Right Date,Extension
DiagnosisCode2.java.keep.1,TIERS_entity\tiersWeb\JavaSource\us\tx\state\dhs\tiers\presentation\view\pageelements,Only in M:\Jordan.M.Klein_TIERS_Project_IPT_dyn\TIERS_entity\tiersWeb\JavaSource\us\tx\state\dhs\tiers\presentation\view\pageelements,* 6/16/2006 2:38:46 PM,,1
nfdt.xml.bak,TIERS_entity\tiersWeb\WebContent\XML\rules,Only in M:\Jordan.M.Klein_TIERS_Project_IPT_dyn\TIERS_entity\tiersWeb\WebContent\XML\rules,* 6/15/2006 10:59:14 AM,,bak
nfdt.xml.merge,TIERS_entity\tiersWeb\WebContent\XML\rules,Only in M:\Jordan.M.Klein_TIERS_Project_IPT_dyn\TIERS_entity\tiersWeb\WebContent\XML\rules,* 6/15/2006 11:31:40 AM,,merge
tanfdt.xml.bak,TIERS_entity\tiersWeb\WebContent\XML\rules,Only in M:\Jordan.M.Klein_TIERS_Project_IPT_dyn\TIERS_entity\tiersWeb\WebContent\XML\rules,* 6/15/2006 10:59:16 AM,,bak
EdIndvBudPayExpHelper.java,TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\batch\cv,Only in M:\Jordan.M.Klein_TIERS_Project_APT_dyn\TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\batch\cv,,* 5/22/2006 10:16:57 AM,java
MecmAddressBookXlationAndLoad.java,TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\batch\cv,Only in M:\Jordan.M.Klein_TIERS_Project_APT_dyn\TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\batch\cv,,* 6/2/2006 11:40:35 AM,java
CV-IC3LB-COR_sort.ksh,TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\scripts\cv,Only in M:\Jordan.M.Klein_TIERS_Project_APT_dyn\TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\scripts\cv,,* 5/22/2006 11:16:21 AM,ksh
CV-MECMX-COR.ksh,TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\scripts\cv,Only in M:\Jordan.M.Klein_TIERS_Project_APT_dyn\TIERS_track09\track9Common\us\tx\state\dhs\tiers\business\scripts\cv,,* 6/12/2006 10:17:51 PM,ksh
DiagnosisBeginDt.java,TIERS_entity\tiersWeb\JavaSource\us\tx\state\dhs\tiers\presentation\view\pageelements,Files are different,* 6/16/2006 2:46:23 PM,5/15/2006 1:39:09 PM,java
DiagnosisEndDt.java,TIERS_entity\tiersWeb\JavaSource\us\tx\state\dhs\tiers\presentation\view\pageelements,Files are different,* 6/16/2006 2:46:23 PM,5/15/2006 1:39:09 PM,java
arErrorCodes.js,TIERS_entity\tiersWeb\WebContent\js,Files are different,* 6/14/2006 5:33:22 PM,5/22/2006 6:23:18 PM,js
