what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.search.ecore.ui,0.7.0.v200806130939,org.eclipse.emf.search.ecore.ui,1248974124945
stopped,bundle,org.eclipse.emf.search.genmodel,0.7.0.v200806130939,org.eclipse.emf.search.genmodel,1248974124945
stopped,bundle,org.eclipse.emf.search.ecore,0.7.0.v200806130939,org.eclipse.emf.search.ecore,1248974124945
stopped,bundle,org.eclipse.emf.search.ocl.ui,0.7.0.v200806130939,org.eclipse.emf.search.ocl.ui,1248974124945
stopped,bundle,org.eclipse.emf.search.ocl,0.7.0.v200806130939,org.eclipse.emf.search.ocl,1248974124945
stopped,bundle,org.eclipse.emf.search.ui,0.7.0.v200806130939,org.eclipse.emf.search.ui,1248974124945
stopped,bundle,org.eclipse.emf.search,0.7.0.v200806130939,org.eclipse.emf.search,1248974124945
stopped,bundle,com.aptana.ide.js.docgen,1.2.7.024747,com.aptana.ide.js.docgen,1248974124946
stopped,bundle,com.aptana.ide.debug.ui,1.2.7.024747,com.aptana.ide.debug.ui,1248974124946
stopped,bundle,com.aptana.ide.ssh,1.2.7.024747,com.aptana.ide.ssh,1248974124946
stopped,bundle,com.aptana.ide.syncing.professional,1.2.7.024688_200905101214,com.aptana.ide.syncing.professional,1248974124946
stopped,bundle,com.aptana.ide.server.cloud,1.2.7.024747,com.aptana.ide.server.cloud,1248974124946
stopped,bundle,com.aptana.ide.db.ui,1.2.7.024747,com.aptana.ide.db.ui,1248974124946
stopped,bundle,com.aptana.ide.framework.jaxer.server.macosx,1.2.7.024747,com.aptana.ide.framework.jaxer.server.macosx,1248974124946
stopped,bundle,com.aptana.ide.framework.jaxer,1.2.7.024747,com.aptana.ide.framework.jaxer,1248974124946
stopped,bundle,com.aptana.ide.documentation,1.2.7.024747,com.aptana.ide.documentation,1248974124946
stopped,bundle,com.aptana.ide.scripting,1.2.7.024747,com.aptana.ide.scripting,1248974124946
stopped,bundle,com.aptana.ide.editor.xml,1.2.7.024747,com.aptana.ide.editor.xml,1248974124946
stopped,bundle,com.aptana.ide.xul,1.2.7.024747,com.aptana.ide.xul,1248974124946
stopped,bundle,com.aptana.ide.editor.html,1.2.7.024747,com.aptana.ide.editor.html,1248974124946
stopped,bundle,com.aptana.ide.editor.css,1.2.7.024747,com.aptana.ide.editor.css,1248974124946
stopped,bundle,com.aptana.ide.professional,1.2.7.024688_200905101214,com.aptana.ide.professional,1248974124946
stopped,bundle,com.aptana.ide.syncing,1.2.7.024747,com.aptana.ide.syncing,1248974124946
stopped,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.2.7.024747,org.eclipse.eclipsemonkey.lang.javascript,1248974124947
stopped,bundle,org.eclipse.eclipsemonkey.ui,1.2.7.024747,org.eclipse.eclipsemonkey.ui,1248974124947
