what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1248317218111
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1248317218200
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1248317218252
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248317221646
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1248317246076
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.0.v20080609-0850,org.eclipse.equinox.p2.artifact.repository,1248317246990
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1248317247106
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1248317247111
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1248317247118
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1248317247129
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.0.v20080523-0001,org.eclipse.equinox.p2.extensionlocation,1248317248791
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.0.v20080529-1800,org.eclipse.equinox.p2.updatesite,1248317248816
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.generator,1248317248941
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.edit.paste,1248317265630
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.0.v20080529-1225,org.eclipse.equinox.p2.touchpoint.eclipse,1248317282387
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248317308946
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.0.v20080605-1731,org.eclipse.equinox.p2.ui.sdk.update,1248317308965
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248317309296
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248317314800
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248317320138
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1248317335391
installed,bundle,com.aptana.ide.eclipse34.aptana.bootstrap,1.2.6.23265,com.aptana.ide.eclipse34.aptana.bootstrap,1248317335433
installed,bundle,com.palm.pdt.aptana,0.9.2.200907131829,com.palm.pdt.aptana,1248317335433
installed,bundle,com.palm.pdt.core,0.9.2.200907131829,com.palm.pdt.core,1248317335433
installed,bundle,com.palm.pdt.ui,0.9.2.200907131829,com.palm.pdt.ui,1248317335437
