127.0.0.1, 2010-01-05 16:01:13, GET, /, HTTP/1.1, 303, 0.000492
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.085590
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000775
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.000672
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.000413
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.000633
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/static/background.gif, HTTP/1.1, 200, 0.000738
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/static/header.gif, HTTP/1.1, 200, 0.000511
127.0.0.1, 2010-01-05 16:01:14, GET, /welcome/static/menu.gif, HTTP/1.1, 200, 0.000434
127.0.0.1, 2010-01-05 16:01:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2010-01-05 16:01:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000357
127.0.0.1, 2010-01-05 16:01:52, GET, /admin/default/index, HTTP/1.1, 200, 0.058140
127.0.0.1, 2010-01-05 16:01:53, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000689
127.0.0.1, 2010-01-05 16:01:53, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000593
127.0.0.1, 2010-01-05 16:01:53, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.001170
127.0.0.1, 2010-01-05 16:01:53, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000444
127.0.0.1, 2010-01-05 16:01:53, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000516
127.0.0.1, 2010-01-05 16:01:57, POST, /admin/default/index, HTTP/1.1, 303, 0.056941
127.0.0.1, 2010-01-05 16:01:57, GET, /admin/default/site, HTTP/1.1, 200, 0.045773
127.0.0.1, 2010-01-05 16:01:58, POST, /admin/default/check_version, HTTP/1.1, 200, 0.163263
127.0.0.1, 2010-01-05 16:01:58, GET, /admin/default/twitter, HTTP/1.1, 200, 0.732980
