127.0.0.1, 2010-01-05 14:11:12, GET, /, HTTP/1.1, 303, 0.000585
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.249857
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.001177
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.001937
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.001115
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.001903
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/static/background.gif, HTTP/1.1, 200, 0.000869
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/static/menu.gif, HTTP/1.1, 200, 0.000686
127.0.0.1, 2010-01-05 14:11:12, GET, /welcome/static/header.gif, HTTP/1.1, 200, 0.001803
127.0.0.1, 2010-01-05 14:11:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
127.0.0.1, 2010-01-05 14:11:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000376
127.0.0.1, 2010-01-05 14:11:51, GET, /admin/default/index, HTTP/1.1, 200, 0.240068
127.0.0.1, 2010-01-05 14:11:51, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000739
127.0.0.1, 2010-01-05 14:11:51, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000625
127.0.0.1, 2010-01-05 14:11:51, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.000542
127.0.0.1, 2010-01-05 14:11:51, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000544
127.0.0.1, 2010-01-05 14:11:51, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000621
127.0.0.1, 2010-01-05 14:11:58, POST, /admin/default/index, HTTP/1.1, 303, 0.070635
127.0.0.1, 2010-01-05 14:11:58, GET, /admin/default/site, HTTP/1.1, 200, 0.049943
127.0.0.1, 2010-01-05 14:11:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.871344
127.0.0.1, 2010-01-05 14:11:59, GET, /admin/default/twitter, HTTP/1.1, 200, 1.029141
127.0.0.1, 2010-01-05 14:13:25, POST, /admin/default/site, HTTP/1.1, 303, 0.110311
127.0.0.1, 2010-01-05 14:13:25, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.069615
127.0.0.1, 2010-01-05 15:31:55, GET, /admin/default/peek/cookbook/controllers/appadmin.py, HTTP/1.1, 303, 0.007123
127.0.0.1, 2010-01-05 15:31:55, GET, /admin/default/index, HTTP/1.1, 200, 0.042176
127.0.0.1, 2010-01-05 15:32:01, GET, /admin/default/design/cookbook, HTTP/1.1, 303, 0.011858
127.0.0.1, 2010-01-05 15:32:01, GET, /admin/default/index, HTTP/1.1, 200, 0.033380
127.0.0.1, 2010-01-05 15:32:02, GET, /admin/default/site, HTTP/1.1, 303, 0.007900
127.0.0.1, 2010-01-05 15:32:03, GET, /admin/default/index, HTTP/1.1, 200, 0.026124
127.0.0.1, 2010-01-05 15:32:04, GET, /admin/default/index, HTTP/1.1, 200, 0.026427
127.0.0.1, 2010-01-05 15:32:07, GET, /admin/default/index, HTTP/1.1, 200, 0.030095
127.0.0.1, 2010-01-05 15:32:10, POST, /admin/default/index, HTTP/1.1, 303, 0.027026
127.0.0.1, 2010-01-05 15:32:10, GET, /admin/default/site, HTTP/1.1, 200, 0.047689
127.0.0.1, 2010-01-05 15:32:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.236877
127.0.0.1, 2010-01-05 15:32:11, GET, /admin/default/twitter, HTTP/1.1, 200, 0.719314
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/default/index, HTTP/1.1, 200, 0.194503
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/static/jquery.js, HTTP/1.1, 200, 0.001490
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/static/calendar.css, HTTP/1.1, 200, 0.000778
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/static/calendar.js, HTTP/1.1, 200, 0.000546
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/static/base.css, HTTP/1.1, 200, 0.000563
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/static/background.gif, HTTP/1.1, 200, 0.002249
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/static/menu.gif, HTTP/1.1, 200, 0.001664
127.0.0.1, 2010-01-05 15:32:28, GET, /cookbook/static/header.gif, HTTP/1.1, 200, 0.001218
127.0.0.1, 2010-01-05 15:32:39, GET, /admin/default/index, HTTP/1.1, 303, 0.006668
127.0.0.1, 2010-01-05 15:32:39, GET, /admin/default/site, HTTP/1.1, 200, 0.032526
127.0.0.1, 2010-01-05 15:32:40, GET, /admin/default/twitter, HTTP/1.1, 200, 0.945839
127.0.0.1, 2010-01-05 15:32:41, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.072879
127.0.0.1, 2010-01-05 15:33:12, GET, /cookbook/default/index, HTTP/1.1, 200, 0.018320
127.0.0.1, 2010-01-05 15:33:15, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.057380
127.0.0.1, 2010-01-05 15:38:32, POST, /admin/default/create_file, HTTP/1.1, 303, 0.025183
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/default/edit/cookbook/controllers/test.py, HTTP/1.1, 200, 0.047034
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/ajax_editor.js, HTTP/1.1, 200, 0.000611
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.001116
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000639
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000772
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000911
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000533
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000731
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000483
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.001636
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000635
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000877
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000698
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000517
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000496
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000590
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000519
127.0.0.1, 2010-01-05 15:38:32, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000573
127.0.0.1, 2010-01-05 15:38:42, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.020542
127.0.0.1, 2010-01-05 15:39:18, POST, /admin/default/edit/cookbook/controllers/test.py, HTTP/1.1, 200, 0.023516
127.0.0.1, 2010-01-05 15:39:41, GET, /admin/default/edit/cookbook/controllers/test.py, HTTP/1.1, 200, 0.060239
127.0.0.1, 2010-01-05 15:39:41, GET, /admin/default/edit/cookbook/controllers/test.py, HTTP/1.1, 200, 0.055277
127.0.0.1, 2010-01-05 15:39:42, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000491
127.0.0.1, 2010-01-05 15:39:44, GET, /cookbook/test/index, HTTP/1.1, 200, 0.057540
127.0.0.1, 2010-01-05 15:39:44, GET, /cookbook/static/menu.jpg, HTTP/1.1, 404, 0.000766
127.0.0.1, 2010-01-05 15:39:52, GET, /cookbook/default/index, HTTP/1.1, 200, 0.017572
127.0.0.1, 2010-01-05 15:39:53, GET, /admin/default/index, HTTP/1.1, 303, 0.005467
127.0.0.1, 2010-01-05 15:39:53, GET, /admin/default/site, HTTP/1.1, 200, 0.031939
127.0.0.1, 2010-01-05 15:39:53, GET, /admin/default/twitter, HTTP/1.1, 200, 0.299998
127.0.0.1, 2010-01-05 15:39:55, GET, /cookbook/default/index, HTTP/1.1, 200, 0.019024
127.0.0.1, 2010-01-05 15:40:00, GET, /admin/default/index, HTTP/1.1, 303, 0.007736
127.0.0.1, 2010-01-05 15:40:00, GET, /admin/default/site, HTTP/1.1, 200, 0.031456
127.0.0.1, 2010-01-05 15:40:01, GET, /admin/default/twitter, HTTP/1.1, 200, 0.305205
127.0.0.1, 2010-01-05 15:40:08, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.053843
127.0.0.1, 2010-01-05 15:40:18, GET, /cookbook/test/index, HTTP/1.1, 200, 0.055558
127.0.0.1, 2010-01-05 15:40:18, GET, /cookbook/static/menu.jpg, HTTP/1.1, 404, 0.000472
127.0.0.1, 2010-01-05 15:42:04, GET, /cookbook/default/index, HTTP/1.1, 200, 0.018159
127.0.0.1, 2010-01-05 15:42:10, GET, /admin/default/edit/cookbook/models/menu.py, HTTP/1.1, 200, 0.031191
127.0.0.1, 2010-01-05 15:42:10, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000581
127.0.0.1, 2010-01-05 15:42:14, GET, /admin/default/edit/cookbook/models/menu.py, HTTP/1.1, 200, 0.032346
127.0.0.1, 2010-01-05 15:42:14, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000545
127.0.0.1, 2010-01-05 15:42:16, GET, /cookbook/default/index, HTTP/1.1, 200, 0.018873
127.0.0.1, 2010-01-05 15:42:19, GET, /cookbook/default/index, HTTP/1.1, 200, 0.018073
127.0.0.1, 2010-01-05 15:42:21, GET, /admin/default/index, HTTP/1.1, 303, 0.007374
127.0.0.1, 2010-01-05 15:42:21, GET, /admin/default/site, HTTP/1.1, 200, 0.031644
127.0.0.1, 2010-01-05 15:42:22, GET, /admin/default/twitter, HTTP/1.1, 200, 0.999904
127.0.0.1, 2010-01-05 15:42:24, GET, /cookbook/default/index, HTTP/1.1, 200, 0.017717
127.0.0.1, 2010-01-05 15:42:27, GET, /admin/default/index, HTTP/1.1, 303, 0.005501
127.0.0.1, 2010-01-05 15:42:27, GET, /admin/default/site, HTTP/1.1, 200, 0.033653
127.0.0.1, 2010-01-05 15:42:28, GET, /admin/default/twitter, HTTP/1.1, 200, 0.397922
127.0.0.1, 2010-01-05 15:42:32, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.053135
127.0.0.1, 2010-01-05 15:45:33, GET, /admin/default/edit/cookbook/models/db.py, HTTP/1.1, 200, 0.031520
127.0.0.1, 2010-01-05 15:45:33, GET, /admin/default/edit/cookbook/models/db.py, HTTP/1.1, 200, 0.047934
127.0.0.1, 2010-01-05 15:45:34, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 404, 0.000566
127.0.0.1, 2010-01-05 15:45:44, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.020156
127.0.0.1, 2010-01-05 15:54:34, POST, /admin/default/edit/cookbook/models/db.py, HTTP/1.1, 200, 0.044712
127.0.0.1, 2010-01-05 15:54:39, GET, /admin/default/errors/cookbook, HTTP/1.1, 200, 0.042672
127.0.0.1, 2010-01-05 15:55:05, GET, /admin/default/site, HTTP/1.1, 200, 0.033383
127.0.0.1, 2010-01-05 15:55:06, GET, /admin/default/twitter, HTTP/1.1, 200, 0.607852
127.0.0.1, 2010-01-05 15:55:11, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.054552
127.0.0.1, 2010-01-05 15:55:25, GET, /admin/default/peek/cookbook/databases/sql.log, HTTP/1.1, 200, 0.069045
127.0.0.1, 2010-01-05 15:55:32, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.055600
127.0.0.1, 2010-01-05 15:55:34, GET, /cookbook/appadmin/index, HTTP/1.1, 500, 0.022667
127.0.0.1, 2010-01-05 15:55:36, GET, /admin/default/ticket/cookbook/127.0.0.1.2010-01-05.15-55-34.67408f3e-d80e-4c4a-af61-b78c3c377a6b, HTTP/1.1, 200, 0.037868
127.0.0.1, 2010-01-05 15:56:28, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.075320
127.0.0.1, 2010-01-05 15:56:31, GET, /admin/default/peek/cookbook/databases/sql.log, HTTP/1.1, 200, 0.036392
127.0.0.1, 2010-01-05 15:56:44, GET, /admin/default/design/cookbook, HTTP/1.1, 200, 0.053522
127.0.0.1, 2010-01-05 15:57:09, GET, /cookbook/appadmin/index, HTTP/1.1, 500, 0.004915
127.0.0.1, 2010-01-05 15:57:11, GET, /admin/default/ticket/cookbook/127.0.0.1.2010-01-05.15-57-09.3ce0f3f0-1f09-4366-9dc6-2a076792ed1f, HTTP/1.1, 200, 0.038002
127.0.0.1, 2010-02-11 14:09:07, GET, /, HTTP/1.1, 303, 0.000586
127.0.0.1, 2010-02-11 14:09:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.116233
127.0.0.1, 2010-02-11 14:09:08, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000685
127.0.0.1, 2010-02-11 14:09:08, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.001461
