127.0.0.1, 2010-02-15 09:18:12, GET, /, HTTP/1.1, 303, 0.000953
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.078314
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.000757
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.002514
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.000637
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/static/background.gif, HTTP/1.1, 200, 0.000844
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/static/menu.gif, HTTP/1.1, 200, 0.000478
127.0.0.1, 2010-02-15 09:18:13, GET, /welcome/static/header.gif, HTTP/1.1, 200, 0.000443
127.0.0.1, 2010-02-15 09:20:42, GET, /admin/default/index, HTTP/1.1, 200, 0.134799
127.0.0.1, 2010-02-15 09:20:42, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.001451
127.0.0.1, 2010-02-15 09:20:42, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.000476
127.0.0.1, 2010-02-15 09:20:42, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.002984
127.0.0.1, 2010-02-15 09:20:42, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.001792
127.0.0.1, 2010-02-15 09:20:43, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000627
127.0.0.1, 2010-02-15 09:21:10, POST, /admin/default/index, HTTP/1.1, 303, 0.054852
127.0.0.1, 2010-02-15 09:21:10, GET, /admin/default/site, HTTP/1.1, 200, 0.079662
127.0.0.1, 2010-02-15 09:21:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.310440
127.0.0.1, 2010-02-15 09:21:10, GET, /admin/default/twitter, HTTP/1.1, 200, 0.395644
